infinitif,conjugated_like,participe_présent,participe_passé,forme_pronominale
rechercher,parler,recherchant,recherché,se rechercher 
obéir,choisir,obéissant,obéi,–
saluer,parler,saluant,salué,se saluer 
mordre,vendre,mordant,mordu,se mordre 
guérir,choisir,guérissant,guéri,se guérir 
détendre,vendre,détendant,détendu,se détendre 
interroger,manger,interrogeant,interrogé,s'interroger 
faillir,faillir,"faillissant, span class=""antiquated""faillantspan",failli,–
condamner,parler,condamnant,condamné,se condamner 
apparaître,connaître,apparaissant,apparu,s'apparaître 
marquer,parler,marquant,marqué,–
ramasser,parler,ramassant,ramassé,se ramasser 
abattre,battre,abattant,abattu,s'abattre 
considérer,céder,considérant,considéré,se considérer 
pendre,vendre,pendant,pendu,se pendre 
combattre,battre,combattant,combattu,se combattre 
posséder,céder,possédant,possédé,se posséder 
bouffer,parler,bouffant,bouffé,–
observer,parler,observant,observé,s'observer 
dépasser,parler,dépassant,dépassé,–
fonctionner,parler,fonctionnant,fonctionné,–
fouiller,parler,fouillant,fouillé,–
goûter,parler,goûtant,goûté,–
insister,parler,insistant,insisté,–
transformer,parler,transformant,transformé,se transformer 
annuler,parler,annulant,annulé,–
réunir,choisir,réunissant,réuni,se réunir 
piger,manger,pigeant,pigé,–
punir,choisir,punissant,puni,se punir 
renoncer,commencer,renonçant,renoncé,–
déclarer,parler,déclarant,déclaré,se déclarer 
confier,copier,confiant,confié,se confier 
rompre,vendre,rompant,rompu,se rompre 
éclater,parler,éclatant,éclaté,s'éclater 
éloigner,parler,éloignant,éloigné,s'éloigner 
allonger,manger,allongeant,allongé,s'allonger 
appuyer,employer,appuyant,appuyé,s'appuyer 
résoudre,absoudre,résolvant,"i class=""defect""résolui",se résoudre 
fabriquer,parler,fabriquant,fabriqué,–
balancer,commencer,balançant,balancé,se balancer 
filmer,parler,filmant,filmé,se filmer 
déconner,parler,déconnant,déconné,–
voiler,parler,voilant,voilé,se voiler 
former,parler,formant,formé,se former 
concentrer,parler,concentrant,concentré,se concentrer 
relever,lever,relevant,relevé,se relever 
violer,parler,violant,violé,–
disputer,parler,disputant,disputé,se disputer 
pisser,parler,pissant,pissé,–
contacter,parler,contactant,contacté,–
résister,parler,résistant,résisté,se résister 
ajouter,parler,ajoutant,ajouté,s'ajouter 
convenir,tenir,convenant,convenu,se convenir 
déplacer,commencer,déplaçant,déplacé,se déplacer 
bloquer,parler,bloquant,bloqué,se bloquer 
identifier,copier,identifiant,identifié,s'identifier 
veiller,parler,veillant,veillé,–
rattraper,parler,rattrapant,rattrapé,se rattraper 
planter,parler,plantant,planté,se planter 
viser,parler,visant,visé,se viser 
promener,lever,promenant,promené,se promener 
venger,manger,vengeant,vengé,se venger 
informer,parler,informant,informé,s'informer 
lier,copier,liant,lié,se lier 
effrayer,payer,effrayant,effrayé,s'effrayer 
fêter,parler,fêtant,fêté,se fêter 
saisir,choisir,saisissant,saisi,se saisir 
impliquer,parler,impliquant,impliqué,s'impliquer 
ordonner,parler,ordonnant,ordonné,s'ordonner 
indiquer,parler,indiquant,indiqué,–
examiner,parler,examinant,examiné,–
puer,parler,puant,pué,–
peindre,atteindre,peignant,peint,se peindre 
avaler,parler,avalant,avalé,s'avaler 
démarrer,parler,démarrant,démarré,–
prétendre,vendre,prétendant,prétendu,se prétendre 
soutenir,tenir,soutenant,soutenu,se soutenir 
exiger,manger,exigeant,exigé,–
visiter,parler,visitant,visité,se visiter 
saigner,parler,saignant,saigné,se saigner 
glisser,parler,glissant,glissé,–
apercevoir,recevoir,apercevant,aperçu,s'apercevoir 
réserver,parler,réservant,réservé,se réserver 
provoquer,parler,provoquant,provoqué,se provoquer 
trembler,parler,tremblant,tremblé,–
embêter,parler,embêtant,embêté,–
confirmer,parler,confirmant,confirmé,–
participer,parler,participant,participé,–
décevoir,recevoir,décevant,déçu,se décevoir 
réagir,choisir,réagissant,réagi,–
hurler,parler,hurlant,hurlé,–
enregistrer,parler,enregistrant,enregistré,s'enregistrer 
fixer,parler,fixant,fixé,se fixer 
révéler,céder,révélant,révélé,se révéler 
déménager,manger,déménageant,déménagé,–
admirer,parler,admirant,admiré,s'admirer 
conseiller,parler,conseillant,conseillé,–
accueillir,cueillir,accueillant,accueilli,s'accueillir 
enseigner,parler,enseignant,enseigné,s'enseigner 
plonger,manger,plongeant,plongé,se plonger 
habituer,parler,habituant,habitué,s'habituer 
buter,parler,butant,buté,se buter 
péter,céder,pétant,pété,–
emprunter,parler,empruntant,emprunté,–
noter,parler,notant,noté,–
verser,parler,versant,versé,se verser 
dépenser,parler,dépensant,dépensé,se dépenser 
assassiner,parler,assassinant,assassiné,s'assassiner 
avertir,choisir,avertissant,averti,s'avertir 
affronter,parler,affrontant,affronté,s'affronter 
adresser,parler,adressant,adressé,s'adresser 
vider,parler,vidant,vidé,se vider 
échouer,parler,échouant,échoué,–
assister,parler,assistant,assisté,s'assister 
parer,parler,parant,paré,se parer 
nager,manger,nageant,nagé,–
autoriser,parler,autorisant,autorisé,s'autoriser 
éliminer,parler,éliminant,éliminé,–
foncer,commencer,fonçant,foncé,se foncer 
subir,choisir,subissant,subi,–
suicider,parler,suicidant,suicidé,se suicider 
contenir,tenir,contenant,contenu,se contenir 
hésiter,parler,hésitant,hésité,–
exprimer,parler,exprimant,exprimé,s'exprimer 
dessiner,parler,dessinant,dessiné,–
augmenter,parler,augmentant,augmenté,s'augmenter 
armer,parler,armant,armé,s'armer 
voter,parler,votant,voté,–
opérer,céder,opérant,opéré,–
dénoncer,commencer,dénonçant,dénoncé,se dénoncer 
rassurer,parler,rassurant,rassuré,se rassurer 
contenter,parler,contentant,contenté,se contenter 
effacer,commencer,effaçant,effacé,s'effacer 
suggérer,céder,suggérant,suggéré,–
briller,parler,brillant,brillé,–
croiser,parler,croisant,croisé,se croiser 
raser,parler,rasant,rasé,se raser 
étouffer,parler,étouffant,étouffé,s'étouffer 
tarder,parler,tardant,tardé,–
souffler,parler,soufflant,soufflé,–
décrire,écrire,décrivant,décrit,se décrire 
raccrocher,parler,raccrochant,raccroché,se raccrocher 
exciter,parler,excitant,excité,s'exciter 
cracher,parler,crachant,craché,–
signaler,parler,signalant,signalé,se signaler 
réduire,traduire,réduisant,réduit,se réduire 
vaincre,vaincre,vainquant,vaincu,se vaincre 
rembourser,parler,remboursant,remboursé,se rembourser 
gérer,céder,gérant,géré,se gérer 
divorcer,commencer,divorçant,divorcé,–
interrompre,vendre,interrompant,interrompu,s'interrompre 
échanger,manger,échangeant,échangé,–
noyer,employer,noyant,noyé,se noyer 
conclure,conclure,concluant,conclu,se conclure 
repérer,céder,repérant,repéré,se repérer 
garer,parler,garant,garé,se garer 
cuisiner,parler,cuisinant,cuisiné,–
cogner,parler,cognant,cogné,se cogner 
exagérer,céder,exagérant,exagéré,–
insulter,parler,insultant,insulté,s'insulter 
repasser,parler,repassant,repassé,se repasser 
atterrir,choisir,atterrissant,atterri,–
barrer,parler,barrant,barré,se barrer 
tendre,vendre,tendant,tendu,se tendre 
inspirer,parler,inspirant,inspiré,s'inspirer 
embarquer,parler,embarquant,embarqué,s'embarquer 
